"kpi","lokasi","Area","Realisasi","insert_at","bulan"
"FFM-WHF-TTI Compliance","reg5","PASURUAN",99.15,"2025-09-17",9
"FFM-WHF-TTI Compliance","reg5","SIDOARJO",98.78,"2025-09-17",9
"FFM-WHF-TTI Compliance","reg5","SINGARAJA",94.88,"2025-09-17",9
"FFM-WHF-TTI Compliance","reg5","SURABAYA SELATAN",98.53,"2025-09-17",9
"FFM-WHF-TTI Compliance","reg5","SURABAYA UTARA",99.00,"2025-09-17",9
"FFM-WHF-Fulfillment Guarantee Compliance","reg","REGIONAL 01",98.71,"2025-09-17",9
"FFM-WHF-Fulfillment Guarantee Compliance","reg","REGIONAL 02",98.96,"2025-09-17",9
"FFM-WHF-Fulfillment Guarantee Compliance","reg","REGIONAL 03",98.54,"2025-09-17",9
"FFM-WHF-Fulfillment Guarantee Compliance","reg","REGIONAL 04",99.38,"2025-09-17",9
"FFM-WHF-Fulfillment Guarantee Compliance","reg","REGIONAL 05",98.70,"2025-09-17",9
"FFM-WHF-Fulfillment Guarantee Compliance","reg","REGIONAL 06",98.94,"2025-09-17",9
"FFM-WHF-Fulfillment Guarantee Compliance","reg","REGIONAL 07",98.56,"2025-09-17",9
"FFM-WHF-Fulfillment Guarantee Compliance","reg4","KUDUS",99.19,"2025-09-17",9
"FFM-WHF-Fulfillment Guarantee Compliance","reg4","MAGELANG",97.97,"2025-09-17",9
"FFM-WHF-Fulfillment Guarantee Compliance","reg4","PEKALONGAN",99.54,"2025-09-17",9
"FFM-WHF-Fulfillment Guarantee Compliance","reg4","PURWOKERTO",99.65,"2025-09-17",9
"FFM-WHF-Fulfillment Guarantee Compliance","reg4","SEMARANG",99.81,"2025-09-17",9
"FFM-WHF-Fulfillment Guarantee Compliance","reg4","SOLO",99.76,"2025-09-17",9
"FFM-WHF-Fulfillment Guarantee Compliance","reg4","YOGYAKARTA",99.36,"2025-09-17",9
"FFM-WHF-Fulfillment Guarantee Compliance","reg5","DENPASAR",97.64,"2025-09-17",9
"FFM-WHF-Fulfillment Guarantee Compliance","reg5","JEMBER",99.89,"2025-09-17",9
"FFM-WHF-Fulfillment Guarantee Compliance","reg5","KEDIRI",99.00,"2025-09-17",9
"FFM-WHF-Fulfillment Guarantee Compliance","reg5","MADIUN",98.47,"2025-09-17",9
"FFM-WHF-Fulfillment Guarantee Compliance","reg5","MADURA",98.14,"2025-09-17",9
"FFM-WHF-Fulfillment Guarantee Compliance","reg5","MALANG",99.42,"2025-09-17",9
"FFM-WHF-Fulfillment Guarantee Compliance","reg5","NTB",96.81,"2025-09-17",9
"FFM-WHF-Fulfillment Guarantee Compliance","reg5","NTT",97.43,"2025-09-17",9
"FFM-WHF-Fulfillment Guarantee Compliance","reg5","PASURUAN",99.19,"2025-09-17",9
"FFM-WHF-Fulfillment Guarantee Compliance","reg5","SIDOARJO",99.10,"2025-09-17",9
"FFM-WHF-Fulfillment Guarantee Compliance","reg5","SINGARAJA",98.61,"2025-09-17",9
"FFM-WHF-Fulfillment Guarantee Compliance","reg5","SURABAYA SELATAN",99.12,"2025-09-17",9
"FFM-WHF-Fulfillment Guarantee Compliance","reg5","SURABAYA UTARA",99.39,"2025-09-17",9
"FFM-WHF-TTR Fulfillment Guarantee Compliance","reg","REGIONAL 01",94.60,"2025-09-17",9
"FFM-WHF-TTR Fulfillment Guarantee Compliance","reg","REGIONAL 02",98.58,"2025-09-17",9
"FFM-WHF-TTR Fulfillment Guarantee Compliance","reg","REGIONAL 03",98.99,"2025-09-17",9
"FFM-WHF-TTR Fulfillment Guarantee Compliance","reg","REGIONAL 04",98.89,"2025-09-17",9
"FFM-WHF-TTR Fulfillment Guarantee Compliance","reg","REGIONAL 05",94.38,"2025-09-17",9
"FFM-WHF-TTR Fulfillment Guarantee Compliance","reg","REGIONAL 06",92.02,"2025-09-17",9
"FFM-WHF-TTR Fulfillment Guarantee Compliance","reg","REGIONAL 07",85.07,"2025-09-17",9
"FFM-WHF-TTR Fulfillment Guarantee Compliance","reg4","KUDUS",100.00,"2025-09-17",9
"FFM-WHF-TTR Fulfillment Guarantee Compliance","reg4","MAGELANG",97.22,"2025-09-17",9
"FFM-WHF-TTR Fulfillment Guarantee Compliance","reg4","PEKALONGAN",100.00,"2025-09-17",9
